Id,Channel,XY,Z,Time,Tags,Shape,Name,cy5,a594
68c2b1ce2445b8180f7efd4f,0,1,4,1,DAPI blob,polygon,,7,10
68c2b1ce2445b8180f7efd50,0,1,4,1,DAPI blob,polygon,,0,2
68c2b1ce2445b8180f7efd51,0,1,4,1,DAPI blob,polygon,,2,1
68c2b1ce2445b8180f7efd52,0,1,4,1,DAPI blob,polygon,,6,3
68c2b1ce2445b8180f7efd53,0,1,4,1,DAPI blob,polygon,,2,2
68c2b1ce2445b8180f7efd54,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd55,0,1,4,1,DAPI blob,polygon,,1,1
68c2b1ce2445b8180f7efd56,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd57,0,1,4,1,DAPI blob,polygon,,1,3
68c2b1ce2445b8180f7efd58,0,1,4,1,DAPI blob,polygon,,0,3
68c2b1ce2445b8180f7efd59,0,1,4,1,DAPI blob,polygon,,2,0
68c2b1ce2445b8180f7efd5a,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd5b,0,1,4,1,DAPI blob,polygon,,1,1
68c2b1ce2445b8180f7efd5c,0,1,4,1,DAPI blob,polygon,,2,2
68c2b1ce2445b8180f7efd5d,0,1,4,1,DAPI blob,polygon,,1,0
68c2b1ce2445b8180f7efd5e,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd5f,0,1,4,1,DAPI blob,polygon,,0,1
68c2b1ce2445b8180f7efd60,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd61,0,1,4,1,DAPI blob,polygon,,1,0
68c2b1ce2445b8180f7efd62,0,1,4,1,DAPI blob,polygon,,1,1
68c2b1ce2445b8180f7efd63,0,1,4,1,DAPI blob,polygon,,6,7
68c2b1ce2445b8180f7efd64,0,1,4,1,DAPI blob,polygon,,0,5
68c2b1ce2445b8180f7efd65,0,1,4,1,DAPI blob,polygon,,0,2
68c2b1ce2445b8180f7efd66,0,1,4,1,DAPI blob,polygon,,1,0
68c2b1ce2445b8180f7efd67,0,1,4,1,DAPI blob,polygon,,2,7
