Id,Channel,XY,Z,Time,Tags,Shape,Name,cy5,a594
68c2be51b02a11085059308b,0,1,4,1,DAPI blob,polygon,,26,8
68c2be51b02a11085059308c,0,1,4,1,DAPI blob,polygon,,2,3
68c2be51b02a11085059308d,0,1,4,1,DAPI blob,polygon,,8,2
68c2be51b02a11085059308e,0,1,4,1,DAPI blob,polygon,,18,7
68c2be51b02a11085059308f,0,1,4,1,DAPI blob,polygon,,25,6
68c2be51b02a110850593090,0,1,4,1,DAPI blob,polygon,,8,7
68c2be51b02a110850593091,0,1,4,1,DAPI blob,polygon,,4,4
68c2be51b02a110850593092,0,1,4,1,DAPI blob,polygon,,18,9
68c2be51b02a110850593093,0,1,4,1,DAPI blob,polygon,,14,2
68c2be51b02a110850593094,0,1,4,1,DAPI blob,polygon,,22,9
68c2be51b02a110850593095,0,1,4,1,DAPI blob,polygon,,4,9
68c2be51b02a110850593096,0,1,4,1,DAPI blob,polygon,,8,11
68c2be51b02a110850593097,0,1,4,1,DAPI blob,polygon,,10,1
68c2be51b02a110850593098,0,1,4,1,DAPI blob,polygon,,24,3
68c2be51b02a110850593099,0,1,4,1,DAPI blob,polygon,,15,10
68c2be51b02a11085059309a,0,1,4,1,DAPI blob,polygon,,19,8
68c2be51b02a11085059309b,0,1,4,1,DAPI blob,polygon,,6,7
68c2be51b02a11085059309c,0,1,4,1,DAPI blob,polygon,,6,5
68c2be51b02a11085059309d,0,1,4,1,DAPI blob,polygon,,8,5
68c2be51b02a11085059309e,0,1,4,1,DAPI blob,polygon,,14,4
68c2be51b02a11085059309f,0,1,4,1,DAPI blob,polygon,,7,2
68c2be51b02a1108505930a0,0,1,4,1,DAPI blob,polygon,,10,0
68c2be51b02a1108505930a1,0,1,4,1,DAPI blob,polygon,,20,9
68c2be51b02a1108505930a2,0,1,4,1,DAPI blob,polygon,,12,7
68c2be51b02a1108505930a3,0,1,4,1,DAPI blob,polygon,,5,3
68c2be51b02a1108505930a4,0,1,4,1,DAPI blob,polygon,,13,8
68c2be51b02a1108505930a5,0,1,4,1,DAPI blob,polygon,,12,3
68c2be51b02a1108505930a6,0,1,4,1,DAPI blob,polygon,,17,6
68c2be51b02a1108505930a7,0,1,4,1,DAPI blob,polygon,,4,1
68c2be51b02a1108505930a8,0,1,4,1,DAPI blob,polygon,,2,3
68c2be51b02a1108505930a9,0,1,4,1,DAPI blob,polygon,,8,2
68c2be51b02a1108505930aa,0,1,4,1,DAPI blob,polygon,,23,3
68c2be51b02a1108505930ab,0,1,4,1,DAPI blob,polygon,,22,10
68c2be51b02a1108505930ac,0,1,4,1,DAPI blob,polygon,,16,9
68c2be51b02a1108505930ad,0,1,4,1,DAPI blob,polygon,,24,9
68c2be51b02a1108505930ae,0,1,4,1,DAPI blob,polygon,,47,6
68c2be51b02a1108505930af,0,1,4,1,DAPI blob,polygon,,23,5
68c2be51b02a1108505930b0,0,1,4,1,DAPI blob,polygon,,34,21
68c2be51b02a1108505930b1,0,1,4,1,DAPI blob,polygon,,11,4
68c2be51b02a1108505930b2,0,1,4,1,DAPI blob,polygon,,36,5
68c2be51b02a1108505930b3,0,1,4,1,DAPI blob,polygon,,14,2
68c2be51b02a1108505930b4,0,1,4,1,DAPI blob,polygon,,18,16
68c2be51b02a1108505930b5,0,1,4,1,DAPI blob,polygon,,32,9
68c2be51b02a1108505930b6,0,1,4,1,DAPI blob,polygon,,26,9
68c2be51b02a1108505930b7,0,1,4,1,DAPI blob,polygon,,31,3
68c2be51b02a1108505930b8,0,1,4,1,DAPI blob,polygon,,34,6
68c2be51b02a1108505930b9,0,1,4,1,DAPI blob,polygon,,18,13
68c2be51b02a1108505930ba,0,1,4,1,DAPI blob,polygon,,8,2
68c2be51b02a1108505930bb,0,1,4,1,DAPI blob,polygon,,10,9
68c2be51b02a1108505930bc,0,1,4,1,DAPI blob,polygon,,15,2
68c2be51b02a1108505930bd,0,1,4,1,DAPI blob,polygon,,11,10
68c2be51b02a1108505930be,0,1,4,1,DAPI blob,polygon,,12,2
68c2be51b02a1108505930bf,0,1,4,1,DAPI blob,polygon,,16,3
68c2be51b02a1108505930c0,0,1,4,1,DAPI blob,polygon,,11,3
68c2be51b02a1108505930c1,0,1,4,1,DAPI blob,polygon,,39,2
68c2be51b02a1108505930c2,0,1,4,1,DAPI blob,polygon,,66,3
68c2be51b02a1108505930c3,0,1,4,1,DAPI blob,polygon,,35,14
68c2be51b02a1108505930c4,0,1,4,1,DAPI blob,polygon,,77,6
68c2be51b02a1108505930c5,0,1,4,1,DAPI blob,polygon,,36,7
68c2be51b02a1108505930c6,0,1,4,1,DAPI blob,polygon,,34,12
68c2be51b02a1108505930c7,0,1,4,1,DAPI blob,polygon,,24,15
68c2be51b02a1108505930c8,0,1,4,1,DAPI blob,polygon,,19,3
68c2be51b02a1108505930c9,0,1,4,1,DAPI blob,polygon,,50,9
68c2be51b02a1108505930ca,0,1,4,1,DAPI blob,polygon,,60,19
68c2be51b02a1108505930cb,0,1,4,1,DAPI blob,polygon,,8,7
68c2be51b02a1108505930cc,0,1,4,1,DAPI blob,polygon,,11,12
68c2be51b02a1108505930cd,0,1,4,1,DAPI blob,polygon,,10,10
68c2be51b02a1108505930ce,0,1,4,1,DAPI blob,polygon,,2,13
68c2be51b02a1108505930cf,0,1,4,1,DAPI blob,polygon,,1,5
68c2be51b02a1108505930d0,0,1,4,1,DAPI blob,polygon,,0,0
68c2be51b02a1108505930d1,0,1,4,1,DAPI blob,polygon,,3,6
68c2be51b02a1108505930d2,0,1,4,1,DAPI blob,polygon,,6,11
68c2be51b02a1108505930d3,0,1,4,1,DAPI blob,polygon,,6,3
68c2be51b02a1108505930d4,0,1,4,1,DAPI blob,polygon,,5,6
68c2be51b02a1108505930d5,0,1,4,1,DAPI blob,polygon,,45,10
68c2be51b02a1108505930d6,0,1,4,1,DAPI blob,polygon,,6,0
68c2be51b02a1108505930d7,0,1,4,1,DAPI blob,polygon,,22,12
68c2be51b02a1108505930d8,0,1,4,1,DAPI blob,polygon,,27,5
68c2be51b02a1108505930d9,0,1,4,1,DAPI blob,polygon,,10,0
68c2be51b02a1108505930da,0,1,4,1,DAPI blob,polygon,,12,3
68c2be51b02a1108505930db,0,1,4,1,DAPI blob,polygon,,25,3
68c2be51b02a1108505930dc,0,1,4,1,DAPI blob,polygon,,12,8
68c2be51b02a1108505930dd,0,1,4,1,DAPI blob,polygon,,12,0
68c2be51b02a1108505930de,0,1,4,1,DAPI blob,polygon,,8,1
68c2be51b02a1108505930df,0,1,4,1,DAPI blob,polygon,,31,10
68c2be51b02a1108505930e0,0,1,4,1,DAPI blob,polygon,,23,6
68c2be51b02a1108505930e1,0,1,4,1,DAPI blob,polygon,,21,5
68c2be51b02a1108505930e2,0,1,4,1,DAPI blob,polygon,,19,14
68c2be51b02a1108505930e3,0,1,4,1,DAPI blob,polygon,,28,3
68c2be51b02a1108505930e4,0,1,4,1,DAPI blob,polygon,,30,6
68c2be51b02a1108505930e5,0,1,4,1,DAPI blob,polygon,,26,3
68c2be51b02a1108505930e6,0,1,4,1,DAPI blob,polygon,,19,2
68c2be51b02a1108505930e7,0,1,4,1,DAPI blob,polygon,,26,9
68c2be51b02a1108505930e8,0,1,4,1,DAPI blob,polygon,,29,11
68c2be51b02a1108505930e9,0,1,4,1,DAPI blob,polygon,,23,15
68c2be51b02a1108505930ea,0,1,4,1,DAPI blob,polygon,,14,8
68c2be51b02a1108505930eb,0,1,4,1,DAPI blob,polygon,,19,2
68c2be51b02a1108505930ec,0,1,4,1,DAPI blob,polygon,,17,5
68c2be51b02a1108505930ed,0,1,4,1,DAPI blob,polygon,,18,1
68c2be51b02a1108505930ee,0,1,4,1,DAPI blob,polygon,,13,3
