"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy7,cy5,a594,cy3
"65c5256c3f73fc24697feb09",0,1,1,1,"cell","polygon","",1149.689746593569,581.8944919067442,801.0110502133231,28661.279466698375,231,41,0,0
"65c525763f73fc24697ff3b1",0,3,2,1,"cell","polygon","",706.6910611454556,370.9661954040046,846.8224652296587,14926.304468122033,104,8,0,1
"65c5257b3f73fc24697ff726",0,3,2,1,"cell","polygon","",906.1467885556114,442.34520174654904,641.7238202876955,23754.09664463059,103,8,0,1
"65c525893f73fc24698001f9",0,3,2,1,"cell","polygon","",544.5912589320952,224.6369777534677,131.0082679906528,13140.39045373156,66,6,0,0
"65c5258e3f73fc2469800b5a",0,4,2,1,"cell","polygon","",728.3369430550165,354.2076161775073,186.53650668583103,13657.921450374823,18,12,0,0
"65c525933f73fc2469800c12",0,5,2,1,"cell","polygon","",442.3173913737862,424.7284650107468,663.0611214880519,10253.642881546113,73,10,0,0
"65c525963f73fc2469800fed",0,5,2,1,"cell","polygon","",581.572168223684,614.8646642259957,683.1404000319574,15520.168886348098,83,9,0,0
"65c525a13f73fc24698016de",0,5,2,1,"cell","polygon","",808.8852421838409,698.7473006719173,348.8790943526996,19257.866079637603,54,14,0,0
"65c525a63f73fc2469801d55",0,6,2,1,"cell","polygon","",566.4292648438089,644.8434400510414,588.8410036048955,22283.35804702704,120,25,0,0
"65c525aa3f73fc2469801dcf",0,6,2,1,"cell","polygon","",438.5411133370452,304.2383990399934,729.3754043031736,11111.31368442475,28,4,0,1
"65c525b03f73fc246980256f",0,7,2,1,"cell","polygon","",633.411996066672,610.1846046614883,164.073516834619,21000.572496905723,108,30,0,0
"65c525b53f73fc2469802796",0,7,2,1,"cell","polygon","",635.5078042272692,687.4326229513924,595.1195584824848,12977.881880110284,78,11,0,0
"65c525b93f73fc2469802d0e",0,7,2,1,"cell","polygon","",471.36488066058985,912.4564235054736,869.4134051158104,12271.437667159871,15,9,0,0
"65c525c43f73fc24698035e0",0,8,3,1,"cell","polygon","",685.053119910789,536.8332063954786,419.9154417798528,18157.032521842637,123,9,0,2
