"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy3,cy7,cy5,a594
"65f9ffe36cebf97155c2e664",0,0,3,0,"DAPI_DMin point","polygon","",1,2,2,22
"65f9ffe36cebf97155c2e665",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,34
"65f9ffe36cebf97155c2e666",0,0,3,0,"DAPI_DMin point","polygon","",-,1,12,32
"65f9ffe36cebf97155c2e667",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,32
"65f9ffe36cebf97155c2e668",0,0,3,0,"DAPI_DMin point","polygon","",-,1,1,18
"65f9ffe36cebf97155c2e669",0,0,3,0,"DAPI_DMin point","polygon","",-,1,10,7
"65f9ffe36cebf97155c2e66a",0,0,3,0,"DAPI_DMin point","polygon","",1,4,5,33
"65f9ffe36cebf97155c2e66b",0,0,3,0,"DAPI_DMin point","polygon","",-,1,4,20
"65f9ffe36cebf97155c2e66c",0,0,3,0,"DAPI_DMin point","polygon","",-,1,3,16
"65f9ffe36cebf97155c2e66d",0,0,3,0,"DAPI_DMin point","polygon","",-,2,4,22
"65f9ffe36cebf97155c2e66e",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,24
"65f9ffe36cebf97155c2e66f",0,0,3,0,"DAPI_DMin point","polygon","",-,1,3,21
"65f9ffe36cebf97155c2e670",0,0,3,0,"DAPI_DMin point","polygon","",-,1,14,9
"65f9ffe36cebf97155c2e671",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,10
"65f9ffe36cebf97155c2e672",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,18
"65f9ffe36cebf97155c2e673",0,0,3,0,"DAPI_DMin point","polygon","",3,-,7,7
"65f9ffe36cebf97155c2e674",0,0,3,0,"DAPI_DMin point","polygon","",-,1,6,27
"65f9ffe36cebf97155c2e675",0,0,3,0,"DAPI_DMin point","polygon","",-,1,-,8
"65f9ffe36cebf97155c2e676",0,0,3,0,"DAPI_DMin point","polygon","",-,-,5,14
"65f9ffe36cebf97155c2e677",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,3
"65f9ffe36cebf97155c2e678",0,0,3,0,"DAPI_DMin point","polygon","",-,1,10,14
"65f9ffe36cebf97155c2e679",0,0,3,0,"DAPI_DMin point","polygon","",-,1,2,11
"65f9ffe36cebf97155c2e67a",0,0,3,0,"DAPI_DMin point","polygon","",3,1,8,19
"65f9ffe36cebf97155c2e67b",0,0,3,0,"DAPI_DMin point","polygon","",-,2,3,4
"65f9ffe36cebf97155c2e67c",0,0,3,0,"DAPI_DMin point","polygon","",-,2,8,19
"65f9ffe36cebf97155c2e67d",0,0,3,0,"DAPI_DMin point","polygon","",-,-,8,13
"65f9ffe36cebf97155c2e67e",0,0,3,0,"DAPI_DMin point","polygon","",-,5,8,9
"65f9ffe36cebf97155c2e67f",0,0,3,0,"DAPI_DMin point","polygon","",-,1,12,21
"65f9ffe36cebf97155c2e680",0,0,3,0,"DAPI_DMin point","polygon","",-,-,5,7
"65f9ffe36cebf97155c2e681",0,0,3,0,"DAPI_DMin point","polygon","",2,4,5,27
"65f9ffe36cebf97155c2e682",0,0,3,0,"DAPI_DMin point","polygon","",-,2,1,18
"65f9ffe36cebf97155c2e683",0,0,3,0,"DAPI_DMin point","polygon","",-,2,9,31
"65f9ffe36cebf97155c2e684",0,0,3,0,"DAPI_DMin point","polygon","",-,-,7,20
"65f9ffe36cebf97155c2e685",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,7
"65f9ffe36cebf97155c2e686",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,29
"65f9ffe36cebf97155c2e687",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,20
"65f9ffe36cebf97155c2e688",0,0,3,0,"DAPI_DMin point","polygon","",-,4,4,26
"65f9ffe36cebf97155c2e689",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,14
"65f9ffe36cebf97155c2e68a",0,0,3,0,"DAPI_DMin point","polygon","",1,-,8,18
"65f9ffe36cebf97155c2e68b",0,0,3,0,"DAPI_DMin point","polygon","",2,-,2,22
"65f9ffe36cebf97155c2e68c",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,9
"65f9ffe36cebf97155c2e68d",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,7
"65f9ffe36cebf97155c2e68e",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,10
"65f9ffe36cebf97155c2e68f",0,0,3,0,"DAPI_DMin point","polygon","",1,-,8,9
"65f9ffe36cebf97155c2e690",0,0,3,0,"DAPI_DMin point","polygon","",-,1,8,19
"65f9ffe36cebf97155c2e691",0,0,3,0,"DAPI_DMin point","polygon","",-,-,4,17
"65f9ffe36cebf97155c2e692",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,6
"65f9ffe36cebf97155c2e693",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,17
"65f9ffe36cebf97155c2e694",0,0,3,0,"DAPI_DMin point","polygon","",-,2,11,21
"65f9ffe36cebf97155c2e695",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,5
"65f9ffe36cebf97155c2e696",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,17
"65f9ffe36cebf97155c2e697",0,0,3,0,"DAPI_DMin point","polygon","",-,1,2,16
"65f9ffe36cebf97155c2e698",0,0,3,0,"DAPI_DMin point","polygon","",-,1,11,11
"65f9ffe36cebf97155c2e699",0,0,3,0,"DAPI_DMin point","polygon","",-,1,16,11
"65f9ffe36cebf97155c2e69a",0,0,3,0,"DAPI_DMin point","polygon","",1,-,5,25
"65f9ffe36cebf97155c2e69b",0,0,3,0,"DAPI_DMin point","polygon","",-,1,19,7
"65f9ffe36cebf97155c2e69c",0,0,3,0,"DAPI_DMin point","polygon","",-,2,4,10
"65f9ffe36cebf97155c2e69d",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,4
"65f9ffe36cebf97155c2e69e",0,0,3,0,"DAPI_DMin point","polygon","",1,5,5,14
"65f9ffe36cebf97155c2e69f",0,0,3,0,"DAPI_DMin point","polygon","",-,6,20,10
"65f9ffe36cebf97155c2e6a0",0,0,3,0,"DAPI_DMin point","polygon","",-,5,3,14
"65f9ffe36cebf97155c2e6a1",0,0,3,0,"DAPI_DMin point","polygon","",2,1,5,5
"65f9ffe36cebf97155c2e6a2",0,0,3,0,"DAPI_DMin point","polygon","",-,5,9,27
"65f9ffe36cebf97155c2e6a3",0,0,3,0,"DAPI_DMin point","polygon","",-,-,10,10
"65f9ffe36cebf97155c2e6a4",0,0,3,0,"DAPI_DMin point","polygon","",-,3,22,34
"65f9ffe36cebf97155c2e6a5",0,0,3,0,"DAPI_DMin point","polygon","",-,1,8,7
"65f9ffe36cebf97155c2e6a6",0,0,3,0,"DAPI_DMin point","polygon","",-,-,13,36
"65f9ffe36cebf97155c2e6a7",0,0,3,0,"DAPI_DMin point","polygon","",-,2,2,7
"65f9ffe36cebf97155c2e6a8",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,7
"65f9ffe36cebf97155c2e6a9",0,0,3,0,"DAPI_DMin point","polygon","",-,2,6,15
"65f9ffe36cebf97155c2e6aa",0,0,3,0,"DAPI_DMin point","polygon","",-,1,1,6
"65f9ffe36cebf97155c2e6ab",0,0,3,0,"DAPI_DMin point","polygon","",-,-,5,20
"65f9ffe36cebf97155c2e6ac",0,0,3,0,"DAPI_DMin point","polygon","",-,2,11,18
"65f9ffe36cebf97155c2e6ad",0,0,3,0,"DAPI_DMin point","polygon","",-,1,2,22
"65f9ffe36cebf97155c2e6ae",0,0,3,0,"DAPI_DMin point","polygon","",-,2,6,9
"65f9ffe36cebf97155c2e6af",0,0,3,0,"DAPI_DMin point","polygon","",-,1,4,6
"65f9ffe36cebf97155c2e6b0",0,0,3,0,"DAPI_DMin point","polygon","",1,-,14,16
"65f9ffe36cebf97155c2e6b1",0,0,3,0,"DAPI_DMin point","polygon","",-,1,4,4
"65f9ffe36cebf97155c2e6b2",0,0,3,0,"DAPI_DMin point","polygon","",-,3,16,22
"65f9ffe36cebf97155c2e6b3",0,0,3,0,"DAPI_DMin point","polygon","",3,3,3,21
"65f9ffe36cebf97155c2e6b4",0,0,3,0,"DAPI_DMin point","polygon","",1,-,4,27
"65f9ffe36cebf97155c2e6b5",0,0,3,0,"DAPI_DMin point","polygon","",-,-,12,21
"65f9ffe36cebf97155c2e6b6",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,19
"65f9ffe36cebf97155c2e6b7",0,0,3,0,"DAPI_DMin point","polygon","",-,3,38,30
"65f9ffe36cebf97155c2e6b8",0,0,3,0,"DAPI_DMin point","polygon","",1,-,22,17
"65f9ffe36cebf97155c2e6b9",0,0,3,0,"DAPI_DMin point","polygon","",2,3,8,18
"65f9ffe36cebf97155c2e6ba",0,0,3,0,"DAPI_DMin point","polygon","",-,-,7,5
"65f9ffe36cebf97155c2e6bb",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,-
"65f9ffe36cebf97155c2e6bc",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,3
"65f9ffe36cebf97155c2e6bd",0,0,3,0,"DAPI_DMin point","polygon","",-,2,6,11
"65f9ffe36cebf97155c2e6be",0,0,3,0,"DAPI_DMin point","polygon","",2,1,11,2
"65f9ffe36cebf97155c2e6bf",0,0,3,0,"DAPI_DMin point","polygon","",-,1,23,18
"65f9ffe36cebf97155c2e6c0",0,0,3,0,"DAPI_DMin point","polygon","",-,5,25,23
"65f9ffe36cebf97155c2e6c1",0,0,3,0,"DAPI_DMin point","polygon","",-,-,10,5
"65f9ffe36cebf97155c2e6c2",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,14
"65f9ffe36cebf97155c2e6c3",0,0,3,0,"DAPI_DMin point","polygon","",-,1,19,2
"65f9ffe36cebf97155c2e6c4",0,0,3,0,"DAPI_DMin point","polygon","",-,3,13,7
"65f9ffe36cebf97155c2e6c5",0,0,3,0,"DAPI_DMin point","polygon","",1,-,4,7
"65f9ffe36cebf97155c2e6c6",0,0,3,0,"DAPI_DMin point","polygon","",-,6,44,11
"65f9ffe36cebf97155c2e6c7",0,0,3,0,"DAPI_DMin point","polygon","",2,5,21,8
"65f9ffe36cebf97155c2e6c8",0,0,3,0,"DAPI_DMin point","polygon","",-,3,10,10
"65f9ffe36cebf97155c2e6c9",0,0,3,0,"DAPI_DMin point","polygon","",-,-,16,2
"65f9ffe36cebf97155c2e6ca",0,0,3,0,"DAPI_DMin point","polygon","",-,1,17,14
"65f9ffe36cebf97155c2e6cb",0,0,3,0,"DAPI_DMin point","polygon","",-,-,4,17
"65f9ffe36cebf97155c2e6cc",0,0,3,0,"DAPI_DMin point","polygon","",-,-,25,9
"65f9ffe36cebf97155c2e6cd",0,0,3,0,"DAPI_DMin point","polygon","",-,4,1,15
"65f9ffe36cebf97155c2e6ce",0,0,3,0,"DAPI_DMin point","polygon","",-,4,24,20
"65f9ffe36cebf97155c2e6cf",0,0,3,0,"DAPI_DMin point","polygon","",-,1,9,29
"65f9ffe36cebf97155c2e6d0",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,20
"65f9ffe36cebf97155c2e6d1",0,0,3,0,"DAPI_DMin point","polygon","",-,1,1,19
"65f9ffe36cebf97155c2e6d2",0,0,3,0,"DAPI_DMin point","polygon","",-,-,10,19
"65f9ffe36cebf97155c2e6d3",0,0,3,0,"DAPI_DMin point","polygon","",2,3,9,27
"65f9ffe36cebf97155c2e6d4",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,11
"65f9ffe36cebf97155c2e6d5",0,0,3,0,"DAPI_DMin point","polygon","",-,2,2,12
"65f9ffe36cebf97155c2e6d6",0,0,3,0,"DAPI_DMin point","polygon","",-,3,4,12
"65f9ffe36cebf97155c2e6d7",0,0,3,0,"DAPI_DMin point","polygon","",-,-,7,17
"65f9ffe36cebf97155c2e6d8",0,0,3,0,"DAPI_DMin point","polygon","",-,1,1,12
"65f9ffe36cebf97155c2e6d9",0,0,3,0,"DAPI_DMin point","polygon","",-,6,3,12
"65f9ffe36cebf97155c2e6da",0,0,3,0,"DAPI_DMin point","polygon","",1,-,9,14
"65f9ffe36cebf97155c2e6db",0,0,3,0,"DAPI_DMin point","polygon","",-,1,2,10
"65f9ffe36cebf97155c2e6dc",0,0,3,0,"DAPI_DMin point","polygon","",-,3,1,7
"65f9ffe36cebf97155c2e6dd",0,0,3,0,"DAPI_DMin point","polygon","",-,3,10,13
"65f9ffe36cebf97155c2e6de",0,0,3,0,"DAPI_DMin point","polygon","",-,1,6,1
"65f9ffe36cebf97155c2e6df",0,0,3,0,"DAPI_DMin point","polygon","",-,3,3,14
"65f9ffe36cebf97155c2e6e0",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,10
"65f9ffe36cebf97155c2e6e1",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,2
"65f9ffe36cebf97155c2e6e2",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,3
"65f9ffe36cebf97155c2e6e3",0,0,3,0,"DAPI_DMin point","polygon","",-,3,7,10
"65f9ffe36cebf97155c2e6e4",0,0,3,0,"DAPI_DMin point","polygon","",-,-,50,16
"65f9ffe36cebf97155c2e6e5",0,0,3,0,"DAPI_DMin point","polygon","",-,2,5,11
"65f9ffe36cebf97155c2e6e6",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,7
"65f9ffe36cebf97155c2e6e7",0,0,3,0,"DAPI_DMin point","polygon","",-,2,20,11
"65f9ffe36cebf97155c2e6e8",0,0,3,0,"DAPI_DMin point","polygon","",3,2,12,18
"65f9ffe36cebf97155c2e6e9",0,0,3,0,"DAPI_DMin point","polygon","",-,3,8,11
"65f9ffe36cebf97155c2e6ea",0,0,3,0,"DAPI_DMin point","polygon","",-,2,8,8
"65f9ffe36cebf97155c2e6eb",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,18
"65f9ffe36cebf97155c2e6ec",0,0,3,0,"DAPI_DMin point","polygon","",1,4,9,17
"65f9ffe36cebf97155c2e6ed",0,0,3,0,"DAPI_DMin point","polygon","",-,3,3,8
"65f9ffe36cebf97155c2e6ee",0,0,3,0,"DAPI_DMin point","polygon","",-,2,5,14
"65f9ffe36cebf97155c2e6ef",0,0,3,0,"DAPI_DMin point","polygon","",-,1,7,15
"65f9ffe36cebf97155c2e6f0",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,7
"65f9ffe36cebf97155c2e6f1",0,0,3,0,"DAPI_DMin point","polygon","",-,-,13,12
"65f9ffe36cebf97155c2e6f2",0,0,3,0,"DAPI_DMin point","polygon","",-,-,10,21
"65f9ffe36cebf97155c2e6f3",0,0,3,0,"DAPI_DMin point","polygon","",-,-,4,4
"65f9ffe36cebf97155c2e6f4",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,16
"65f9ffe36cebf97155c2e6f5",0,0,3,0,"DAPI_DMin point","polygon","",-,1,17,14
"65f9ffe36cebf97155c2e6f6",0,0,3,0,"DAPI_DMin point","polygon","",1,2,1,8
"65f9ffe36cebf97155c2e6f7",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,12
"65f9ffe36cebf97155c2e6f8",0,0,3,0,"DAPI_DMin point","polygon","",-,-,4,-
"65f9ffe36cebf97155c2e6f9",0,0,3,0,"DAPI_DMin point","polygon","",-,-,8,14
"65f9ffe36cebf97155c2e6fa",0,0,3,0,"DAPI_DMin point","polygon","",-,3,2,10
"65f9ffe36cebf97155c2e6fb",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,7
"65f9ffe36cebf97155c2e6fc",0,0,3,0,"DAPI_DMin point","polygon","",-,-,5,6
"65f9ffe36cebf97155c2e6fd",0,0,3,0,"DAPI_DMin point","polygon","",-,-,7,10
"65f9ffe36cebf97155c2e6fe",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,15
"65f9ffe36cebf97155c2e6ff",0,0,3,0,"DAPI_DMin point","polygon","",1,3,6,17
"65f9ffe36cebf97155c2e700",0,0,3,0,"DAPI_DMin point","polygon","",-,-,13,53
"65f9ffe36cebf97155c2e701",0,0,3,0,"DAPI_DMin point","polygon","",-,3,6,5
"65f9ffe36cebf97155c2e702",0,0,3,0,"DAPI_DMin point","polygon","",-,-,6,8
"65f9ffe36cebf97155c2e703",0,0,3,0,"DAPI_DMin point","polygon","",-,5,3,19
"65f9ffe36cebf97155c2e704",0,0,3,0,"DAPI_DMin point","polygon","",1,-,2,38
"65f9ffe36cebf97155c2e705",0,0,3,0,"DAPI_DMin point","polygon","",-,1,9,42
"65f9ffe36cebf97155c2e706",0,0,3,0,"DAPI_DMin point","polygon","",-,1,1,25
"65f9ffe36cebf97155c2e707",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,39
"65f9ffe36cebf97155c2e708",0,0,3,0,"DAPI_DMin point","polygon","",1,1,-,13
"65f9ffe36cebf97155c2e709",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,21
"65f9ffe36cebf97155c2e70a",0,0,3,0,"DAPI_DMin point","polygon","",-,3,3,49
"65f9ffe36cebf97155c2e70b",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,35
"65f9ffe36cebf97155c2e70c",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,7
"65f9ffe36cebf97155c2e70d",0,0,3,0,"DAPI_DMin point","polygon","",-,1,3,27
"65f9ffe36cebf97155c2e70e",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,16
"65f9ffe36cebf97155c2e70f",0,0,3,0,"DAPI_DMin point","polygon","",1,-,3,3
"65f9ffe36cebf97155c2e710",0,0,3,0,"DAPI_DMin point","polygon","",1,-,1,39
"65f9ffe36cebf97155c2e711",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,8
"65f9ffe36cebf97155c2e712",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,3
"65f9ffe36cebf97155c2e713",0,0,3,0,"DAPI_DMin point","polygon","",1,1,6,53
"65f9ffe36cebf97155c2e714",0,0,3,0,"DAPI_DMin point","polygon","",1,-,11,4
"65f9ffe36cebf97155c2e715",0,0,3,0,"DAPI_DMin point","polygon","",-,3,3,12
"65f9ffe36cebf97155c2e716",0,0,3,0,"DAPI_DMin point","polygon","",-,3,4,7
"65f9ffe36cebf97155c2e717",0,0,3,0,"DAPI_DMin point","polygon","",-,1,1,8
"65f9ffe36cebf97155c2e718",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,6
"65f9ffe36cebf97155c2e719",0,0,3,0,"DAPI_DMin point","polygon","",-,1,4,16
"65f9ffe36cebf97155c2e71a",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,26
"65f9ffe36cebf97155c2e71b",0,0,3,0,"DAPI_DMin point","polygon","",-,2,4,26
"65f9ffe36cebf97155c2e71c",0,0,3,0,"DAPI_DMin point","polygon","",-,1,9,7
"65f9ffe36cebf97155c2e71d",0,0,3,0,"DAPI_DMin point","polygon","",-,3,13,18
"65f9ffe36cebf97155c2e71e",0,0,3,0,"DAPI_DMin point","polygon","",-,2,20,19
"65f9ffe36cebf97155c2e71f",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,29
"65f9ffe36cebf97155c2e720",0,0,3,0,"DAPI_DMin point","polygon","",1,-,1,32
"65f9ffe36cebf97155c2e721",0,0,3,0,"DAPI_DMin point","polygon","",-,1,5,20
"65f9ffe36cebf97155c2e722",0,0,3,0,"DAPI_DMin point","polygon","",-,-,3,24
"65f9ffe36cebf97155c2e723",0,0,3,0,"DAPI_DMin point","polygon","",-,2,3,8
"65f9ffe36cebf97155c2e724",0,0,3,0,"DAPI_DMin point","polygon","",-,-,1,17
"65f9ffe36cebf97155c2e725",0,0,3,0,"DAPI_DMin point","polygon","",-,-,2,15
"65f9ffe36cebf97155c2e726",0,0,3,0,"DAPI_DMin point","polygon","",-,3,19,7
"65f9ffe36cebf97155c2e727",0,0,3,0,"DAPI_DMin point","polygon","",1,-,15,23
"65f9ffe36cebf97155c2e728",0,0,3,0,"DAPI_DMin point","polygon","",1,2,8,12
"65f9ffe36cebf97155c2e729",0,0,3,0,"DAPI_DMin point","polygon","",-,2,18,12
"65f9ffe36cebf97155c2e72a",0,0,3,0,"DAPI_DMin point","polygon","",-,3,4,17
"65f9ffe36cebf97155c2e72b",0,0,3,0,"DAPI_DMin point","polygon","",1,2,5,24
"65f9ffe36cebf97155c2e72c",0,0,3,0,"DAPI_DMin point","polygon","",-,1,4,17
"65f9ffe36cebf97155c2e72d",0,0,3,0,"DAPI_DMin point","polygon","",-,2,2,21
"65f9ffe36cebf97155c2e72e",0,0,3,0,"DAPI_DMin point","polygon","",-,-,-,45
"65f9ffe36cebf97155c2e72f",0,0,3,0,"DAPI_DMin point","polygon","",-,5,3,18
"65f9ffe36cebf97155c2e730",0,0,3,0,"DAPI_DMin point","polygon","",-,1,2,9
"65f9ffe36cebf97155c2e731",0,0,3,0,"DAPI_DMin point","polygon","",-,7,37,35
"65f9ffe36cebf97155c2e732",0,0,3,0,"DAPI_DMin point","polygon","",-,1,15,36
"65f9ffe36cebf97155c2e733",0,0,3,0,"DAPI_DMin point","polygon","",-,1,2,31
"65f9ffe36cebf97155c2e734",0,0,3,0,"DAPI_DMin point","polygon","",-,2,3,21
"65f9ffe36cebf97155c2e735",0,0,3,0,"DAPI_DMin point","polygon","",-,1,-,18
"65f9ffe36cebf97155c2e736",0,0,3,0,"DAPI_DMin point","polygon","",-,-,12,28
