"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy7,cy5,a594,cy3
"65e8298451aff2647611ee92",0,1,2,1,"cell","polygon","",1206.572610969022,251.86672162167227,867.5658617007325,26688.5,162,15,8,1
"65e8298451aff2647611ee93",0,1,2,1,"cell","polygon","",1037.1347071007776,482.88640214876847,941.1205166606901,23703.5,169,88,52,23
"65e8298551aff2647611ee9d",0,2,2,1,"cell","polygon","",732.1064416832304,133.16566892674052,261.00332947467064,15117.5,110,46,1,0
"65e8298551aff2647611ee9e",0,2,2,1,"cell","polygon","",1249.6895669255073,253.8015274677449,246.62753232531693,23743,76,63,1,0
"65e8298551aff2647611eea0",0,2,2,1,"cell","polygon","",829.3227627957897,468.59439434129087,389.0950368405541,28275,201,101,2,0
"65e8298751aff2647611eeaf",0,3,2,1,"cell","polygon","",699.0035639904654,134.41236938783854,447.07698013585417,28535.5,258,71,5,0
"65e8298751aff2647611eeb3",0,3,2,1,"cell","polygon","",834.3752872189926,517.3060358432996,983.635417762658,14256.5,53,30,7,0
"65e8298751aff2647611eeb4",0,3,2,1,"cell","polygon","",842.1836670104476,660.0933345728363,227.70407641535743,21514,116,48,10,0
"65e8298751aff2647611eeb5",0,3,2,1,"cell","polygon","",732.1568495255441,723.7491452651666,616.4925989239617,25154,68,47,2,0
"65e8298751aff2647611eeb6",0,3,2,1,"cell","polygon","",493.56790838702557,726.7637933160685,488.3774694783574,13515,54,45,4,0
"65e8298751aff2647611eeb7",0,3,2,1,"cell","polygon","",783.6862382761824,835.1889438943895,837.3394206087276,18180,67,47,4,0
"65e8298751aff2647611eeb8",0,3,2,1,"cell","polygon","",203.68675637428032,733.0214061634988,878.2441409854216,2709.5,17,7,1,0
"65e8298851aff2647611eed1",0,5,2,1,"cell","polygon","",1000.2166118727398,876.6851535452543,158.42950706652877,22241,47,32,4,0
"65e8298a51aff2647611eedd",0,6,2,1,"cell","polygon","",3.414213562373095,107.66666666666667,574.6666666666666,0.5,0,0,0,0
"65e8298a51aff2647611eee3",0,6,2,1,"cell","polygon","",3.414213562373095,303.6666666666667,293.6666666666667,0.5,0,0,0,0
"65e8298b51aff2647611ef16",0,8,2,1,"cell","polygon","",930.1661835774921,102.39058342322906,809.4266181229774,37080,278,58,11,0
"65e8298c51aff2647611ef1c",0,9,2,1,"cell","polygon","",245.92021847909547,1000.4622330514547,126.77387606898859,3488.5,3,1,0,0
"65e8298e51aff2647611ef22",0,10,2,1,"cell","polygon","",1000.7439735575066,128.40706904133685,549.9124615215479,30320,135,36,17,0
"65e8298e51aff2647611ef23",0,10,2,1,"cell","polygon","",652.9612521216902,49.7603545458457,680.403072156964,19367.5,89,16,3,0
"65e8298e51aff2647611ef24",0,10,2,1,"cell","polygon","",759.3966823756404,142.75980590697193,207.06601068941143,20986.5,149,7,16,0
"65e8298e51aff2647611ef26",0,10,2,1,"cell","polygon","",865.5083971323525,356.35509315925475,199.44057414207353,29412,297,78,9,0
"65e8298e51aff2647611ef27",0,10,2,1,"cell","polygon","",916.3464426176636,419.235691987513,733.3460978147763,24025,188,50,66,45
"65e8298e51aff2647611ef2a",0,10,2,1,"cell","polygon","",349.145911736173,453.1538009979454,907.9921240583112,3407,2,2,0,0
"65e8298e51aff2647611ef2f",0,10,2,1,"cell","polygon","",579.2054882130071,763.6503085048621,933.6412557381905,16882.5,40,46,53,30
"65e8298f51aff2647611ef48",0,11,2,1,"cell","polygon","",915.6456020908895,834.4877384522376,701.9838328335338,27844.5,66,43,13,0
"65e8299051aff2647611ef59",0,12,2,1,"cell","polygon","",833.2359876000411,177.3163561836591,557.3477715579212,21794,163,17,4,0
"65e8299051aff2647611ef5c",0,12,2,1,"cell","polygon","",584.7674501216352,593.8168423278931,736.7555312723983,14184.5,104,6,5,0
"65e8299051aff2647611ef5d",0,12,2,1,"cell","polygon","",334.3173235639472,602.8108979126382,566.3897565570926,3361.5,31,7,3,0
"65e8299051aff2647611ef5e",0,12,2,1,"cell","polygon","",1141.3024579220723,825.5244087489974,575.9213706618109,30754,138,35,10,0
"65e8299051aff2647611ef5f",0,12,2,1,"cell","polygon","",735.6149529403885,881.0944665910837,905.5805020175792,13671.5,14,28,2,0
"65e8299351aff2647611ef6a",0,13,2,1,"cell","polygon","",605.3240022894815,29.195491243003428,144.87765998607134,12923,79,9,4,1
