Id,Channel,XY,Z,Time,Tags,Shape,Name,cy7,a594,cy5,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
65b9d67f3f73fc2469fbed9f,0,0,2,0,cell,polygon,,910,48,5,296,1258.4292553880673,477.33874931848084,277.5401254924216,81170.27921815272
65b9d6833f73fc2469fbedc4,0,0,2,0,cell,polygon,,923,50,19,228,1329.2851057317705,534.1785327252243,707.9443784333998,100739.55726123095
65b9d6873f73fc2469fbede1,0,0,2,0,cell,polygon,,942,45,6,451,1241.0690031692077,158.39692718326555,209.65467677532115,92390.42240559729
65b9d68a3f73fc2469fbee3f,0,0,2,0,cell,polygon,,771,59,8,267,1209.590830467676,895.5766568877611,508.7183864696937,77892.35631962836
65b9d6913f73fc2469fbf04c,0,1,2,0,cell,polygon,,777,73,6,174,1126.828004,650.3521251038761,291.7392328905824,77656.89200489655
65b9d6943f73fc2469fbf157,0,1,2,0,cell,polygon,,540,67,14,306,1116.516024683661,455.366786,524.6382816682076,90929.29023205233
65b9d6983f73fc2469fbf2cd,0,1,2,0,cell,polygon,,500,16,1,210,935.9617952729996,344.23994926657787,790.9369233812921,44763.06441780666
65b9d69d3f73fc2469fbf480,0,1,2,0,cell,polygon,,822,86,4,186,1044.7928084126515,908.1827272756524,531.2299358,79275.14960519233
65b9d6a73f73fc2469fbf6ad,0,2,2,0,cell,polygon,,1003,93,5,209,1269.644077385593,402.3759356965047,523.1935600339554,109665.26633240559
65b9d6aa3f73fc2469fbf6c8,0,2,2,0,cell,polygon,,299,56,1,99,842.4680950234178,588.1898567807973,276.1873732413335,29917.39749459579
65b9d6ac3f73fc2469fbf6e6,0,2,2,0,cell,polygon,,356,25,11,155,823.8489295192412,681.9854251,850.7182815267182,36290.15411916283
65b9d6c13f73fc2469fbf79e,0,3,2,0,cell,polygon,,859,73,8,467,1084.566973883107,450.64984522478665,436.87463181013146,81224.22113816261
