Id,Channel,XY,Z,Time,Tags,Shape,Name,cy7,a594,cy5,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
65b9d84f3f73fc2469fc07fa,0,0,0,0,cell,polygon,,287,41,17,112,632.4430639,710.4744168439379,291.6237006577241,22878.088846006514
65b9d86d3f73fc2469fc07fd,0,3,2,0,cell,polygon,,358,72,18,121,910.4792644758953,553.3099538503839,768.4932304419622,42967.984756067824
65b9d87e3f73fc2469fc0800,0,4,4,0,cell,polygon,,580,48,29,28,1039.4541694171637,406.43959599486175,237.6196327144019,74733.95618162387
65b9d8823f73fc2469fc0803,0,4,4,0,cell,polygon,,212,23,13,47,644.5154349,192.61998020550854,302.2354868340055,20965.053201507544
65b9d88d3f73fc2469fc0806,0,6,4,0,cell,polygon,,239,79,12,129,924.8524847798601,391.1086549635106,458.50514145827947,27440.769507421213
65b9d8973f73fc2469fc0809,0,6,2,0,cell,polygon,,529,49,14,79,737.5208387028536,778.9521295159706,731.1541384535669,41044.42931803996
65b9d8a13f73fc2469fc080c,0,6,2,0,cell,polygon,,614,75,16,80,981.1811709268935,519.2023733450449,824.8124757,57311.61132001684
65b9d8a83f73fc2469fc080f,0,7,2,0,cell,polygon,,782,128,23,347,1012.0167268314158,720.7836182520263,548.5309952366325,66797.77917834785
65b9d8b63f73fc2469fc0812,0,10,2,0,cell,polygon,,520,128,20,57,738.5258073230468,385.1413369090237,648.7003126071446,37705.402086890375
65b9d9d63f73fc2469fc0842,0,13,2,0,cell,polygon,,411,78,9,336,892.192101,389.8150268,436.62202808033834,50660.63973041967
65b9d9e73f73fc2469fc0845,0,14,2,0,cell,polygon,,237,37,21,76,794.0352202387409,387.7628064,861.4447268006904,40885.51328813541
65b9d9ed3f73fc2469fc0848,0,14,2,0,cell,polygon,,293,110,26,141,729.2699395167102,854.2273347022292,560.9278951,39800.85542768822
65b9d9f03f73fc2469fc084b,0,14,2,0,cell,polygon,,251,47,10,47,541.1322046251499,935.3001221436834,388.66011373454785,19690.143755963363
65b9d9fd3f73fc2469fc084e,0,15,2,0,cell,polygon,,794,109,40,175,1148.005453068254,726.6625547713498,838.3102597541551,61865.11514026803
65b9da033f73fc2469fc0851,0,15,2,0,cell,polygon,,514,51,18,241,817.7469579481498,484.4707766721437,672.0831212672191,38962.181675501764
65b9da123f73fc2469fc0854,0,16,2,0,cell,polygon,,905,144,49,246,1302.6721899869237,404.9919406140439,611.4990730335876,70286.99324902697
65b9da173f73fc2469fc0857,0,16,2,0,cell,polygon,,961,110,33,233,1061.5736475547342,521.1333344,235.81354057290037,74229.90139381388
65b9da1f3f73fc2469fc085a,0,17,2,0,cell,polygon,,428,81,25,119,1060.2424944345732,453.7735471147347,372.3236662502749,45876.37192871547
65b9da263f73fc2469fc085d,0,18,2,0,cell,polygon,,460,185,25,123,823.9303052251228,757.0401715657061,466.9017749200652,41604.88810519632
65b9da2c3f73fc2469fc0860,0,18,2,0,cell,polygon,,311,92,17,115,910.7121484445554,370.55366848040103,650.1522253,39876.95606172703
65b9da313f73fc2469fc0863,0,18,2,0,cell,polygon,,400,154,13,146,830.5707201,325.1334567865165,358.2432413827745,35842.50333
65b9da363f73fc2469fc0866,0,18,2,0,cell,polygon,,356,111,16,104,799.2886164896469,154.43880762649877,235.95531857820356,28795.136967917682
65b9da3e3f73fc2469fc0869,0,19,2,0,cell,polygon,,422,111,42,133,965.4671013611517,155.4997705832636,642.0251354,66096.08656743125
65b9da483f73fc2469fc086c,0,21,2,0,cell,polygon,,313,94,21,126,730.7345603695311,340.31648415761333,469.8889603020243,27109.507923958194
65b9da4c3f73fc2469fc086f,0,21,2,0,cell,polygon,,559,77,25,410,883.7797622602108,748.7499401,665.9864539080704,50235.81913216776
65b9da503f73fc2469fc0872,0,21,2,0,cell,polygon,,235,61,12,51,668.4799871192355,493.7731741609913,948.9790981,27205.08136729517
65b9da573f73fc2469fc0875,0,22,2,0,cell,polygon,,430,39,8,132,745.4994482,341.71457279104965,490.9688990405677,32557.19419416536
65b9da5c3f73fc2469fc0878,0,22,2,0,cell,polygon,,338,61,9,113,727.0758851793742,744.6457332500285,447.41932966162375,31857.963662585284
65b9da603f73fc2469fc087b,0,22,2,0,cell,polygon,,321,75,17,313,848.3786969048149,449.9817281119175,168.8358753,33913.12843242141
65b9da663f73fc2469fc087e,0,23,2,0,cell,polygon,,615,51,16,20,912.4214972,593.8025724,586.2538609260803,54612.50089097586
65b9da6b3f73fc2469fc0881,0,23,2,0,cell,polygon,,446,55,18,15,916.8104966138458,131.41761654030694,562.7157822,41146.493697809645
65b9dc7f3f73fc2469fc0b4a,0,24,2,0,cell,polygon,,590,32,74,7,1257.9957041729126,836.0238633262849,365.63176629078436,90125.98089215443
65b9dc7f3f73fc2469fc0b4d,0,24,2,0,cell,polygon,,150,6,31,3,687.8610947,914.9837196104421,673.4899765992473,25678.144527846005
65b9dc803f73fc2469fc0b50,0,24,2,0,cell,polygon,,614,32,74,7,1214.4127843339832,841.1337002933234,371.33213176825177,94749.76588619442
65b9dca63f73fc2469fc0b53,0,24,2,0,cell,polygon,,370,17,32,1,1077.1764793536393,388.3512801618234,363.3138772962071,61896.67452085466
