"Id",Channel,XY,Z,Time,"Tags","Shape","Name",a594 children,cy7 children,cy5 children,cy3 children
"6793d6e73204237ba05be275",0,1,1,1,"DAPI_DMout blob","polygon","",0,7,2,0
"6793d6e73204237ba05be276",0,1,1,1,"DAPI_DMout blob","polygon","",0,8,3,0
"6793d6e73204237ba05be277",0,1,1,1,"DAPI_DMout blob","polygon","",1,5,2,1
"6793d6e73204237ba05be278",0,1,1,1,"DAPI_DMout blob","polygon","",0,12,3,0
"6793d6e73204237ba05be279",0,1,1,1,"DAPI_DMout blob","polygon","",0,5,8,0
"6793d6e73204237ba05be27a",0,1,1,1,"DAPI_DMout blob","polygon","",0,3,6,0
"6793d6e73204237ba05be27b",0,1,1,1,"DAPI_DMout blob","polygon","",6,6,10,2
"6793d6e73204237ba05be27c",0,1,1,1,"DAPI_DMout blob","polygon","",1,8,7,0
"6793d6e73204237ba05be27d",0,1,1,1,"DAPI_DMout blob","polygon","",0,3,2,0
"6793d6e73204237ba05be27e",0,1,1,1,"DAPI_DMout blob","polygon","",0,3,2,0
"6793d6e73204237ba05be27f",0,1,1,1,"DAPI_DMout blob","polygon","",0,2,2,0
"6793d6e73204237ba05be280",0,1,1,1,"DAPI_DMout blob","polygon","",17,2,5,0
"6793d6e73204237ba05be281",0,1,1,1,"DAPI_DMout blob","polygon","",24,2,1,0
"6793d6e83204237ba05be2f5",0,3,1,1,"DAPI_DMout blob","polygon","",5,9,13,0
"6793d6e83204237ba05be2f6",0,3,1,1,"DAPI_DMout blob","polygon","",2,3,5,0
"6793d6e83204237ba05be2f7",0,3,1,1,"DAPI_DMout blob","polygon","",18,9,6,2
"6793d6e83204237ba05be2f8",0,3,1,1,"DAPI_DMout blob","polygon","",6,2,4,3
"6793d6e83204237ba05be2f9",0,3,1,1,"DAPI_DMout blob","polygon","",8,4,10,0
"6793d6e83204237ba05be2fa",0,3,1,1,"DAPI_DMout blob","polygon","",13,5,3,0
"6793d6e83204237ba05be2fb",0,3,1,1,"DAPI_DMout blob","polygon","",10,5,6,0
"6793d6e83204237ba05be2fc",0,3,1,1,"DAPI_DMout blob","polygon","",17,3,3,1
"6793d6e83204237ba05be2fd",0,3,1,1,"DAPI_DMout blob","polygon","",9,2,1,0
"6793d6e83204237ba05be2fe",0,3,1,1,"DAPI_DMout blob","polygon","",22,1,2,0
"6793d6e83204237ba05be2ff",0,3,1,1,"DAPI_DMout blob","polygon","",0,0,0,0
"6793d6e93204237ba05be352",0,4,1,1,"DAPI_DMout blob","polygon","",0,2,0,2
"6793d6e93204237ba05be353",0,4,1,1,"DAPI_DMout blob","polygon","",4,2,5,0
"6793d6e93204237ba05be354",0,4,1,1,"DAPI_DMout blob","polygon","",0,0,1,1
"6793d6e93204237ba05be355",0,4,1,1,"DAPI_DMout blob","polygon","",0,1,3,0
"6793d6e93204237ba05be356",0,4,1,1,"DAPI_DMout blob","polygon","",0,2,15,2
"6793d6e93204237ba05be357",0,4,1,1,"DAPI_DMout blob","polygon","",4,5,3,5
"6793d6e93204237ba05be358",0,4,1,1,"DAPI_DMout blob","polygon","",0,1,0,0
"6793d6e93204237ba05be359",0,4,1,1,"DAPI_DMout blob","polygon","",0,1,2,0
"6793d6e93204237ba05be35a",0,4,1,1,"DAPI_DMout blob","polygon","",0,0,3,0
"6793d6e93204237ba05be35b",0,4,1,1,"DAPI_DMout blob","polygon","",0,0,0,0
"6793d6e93204237ba05be35c",0,4,1,1,"DAPI_DMout blob","polygon","",2,4,2,2
"6793d6e93204237ba05be35d",0,4,1,1,"DAPI_DMout blob","polygon","",7,2,3,7
"6793d6e93204237ba05be35e",0,4,1,1,"DAPI_DMout blob","polygon","",1,6,8,0
"6793d6e93204237ba05be35f",0,4,1,1,"DAPI_DMout blob","polygon","",7,8,13,4
"6793d6e93204237ba05be360",0,4,1,1,"DAPI_DMout blob","polygon","",6,10,11,2
"6793d6e93204237ba05be361",0,4,1,1,"DAPI_DMout blob","polygon","",0,2,0,0
"6793d6e93204237ba05be362",0,4,1,1,"DAPI_DMout blob","polygon","",7,3,13,3
"6793d6e93204237ba05be363",0,4,1,1,"DAPI_DMout blob","polygon","",0,12,6,3
"6793d6e93204237ba05be364",0,4,1,1,"DAPI_DMout blob","polygon","",0,5,5,0
"6793d6e93204237ba05be365",0,4,1,1,"DAPI_DMout blob","polygon","",0,4,5,0
"6793d6e93204237ba05be366",0,4,1,1,"DAPI_DMout blob","polygon","",0,3,1,0
"6793d6e93204237ba05be367",0,4,1,1,"DAPI_DMout blob","polygon","",0,2,5,0
"6793d6e93204237ba05be368",0,4,1,1,"DAPI_DMout blob","polygon","",4,13,7,3
"6793d6e93204237ba05be369",0,4,1,1,"DAPI_DMout blob","polygon","",2,14,6,2
"6793d6e93204237ba05be36a",0,4,1,1,"DAPI_DMout blob","polygon","",1,11,15,5
"6793d6e93204237ba05be36b",0,4,1,1,"DAPI_DMout blob","polygon","",0,6,1,0
"6793d6e93204237ba05be36c",0,4,1,1,"DAPI_DMout blob","polygon","",0,3,0,0
"6793d6e93204237ba05be36d",0,4,1,1,"DAPI_DMout blob","polygon","",1,3,6,3
"6793d6e93204237ba05be36e",0,4,1,1,"DAPI_DMout blob","polygon","",0,5,3,0
"6793d6e93204237ba05be36f",0,4,1,1,"DAPI_DMout blob","polygon","",23,6,16,13
"6793d6e93204237ba05be370",0,4,1,1,"DAPI_DMout blob","polygon","",1,2,4,0
"6793d6e93204237ba05be371",0,4,1,1,"DAPI_DMout blob","polygon","",0,3,3,0
"6793d6e93204237ba05be372",0,4,1,1,"DAPI_DMout blob","polygon","",0,0,2,0
"6793d6e93204237ba05be373",0,4,1,1,"DAPI_DMout blob","polygon","",0,9,4,0
"6793d6e93204237ba05be374",0,4,1,1,"DAPI_DMout blob","polygon","",0,0,1,0
"6793d6e93204237ba05be375",0,4,1,1,"DAPI_DMout blob","polygon","",6,1,8,3
"6793d6e93204237ba05be376",0,4,1,1,"DAPI_DMout blob","polygon","",17,7,9,1
"6793d6e93204237ba05be377",0,4,1,1,"DAPI_DMout blob","polygon","",0,1,0,0
"6793d6e93204237ba05be378",0,4,1,1,"DAPI_DMout blob","polygon","",1,6,5,0
"6793d6e93204237ba05be379",0,4,1,1,"DAPI_DMout blob","polygon","",0,3,3,0
"6793d6e93204237ba05be37a",0,4,1,1,"DAPI_DMout blob","polygon","",0,2,8,0
"6793d6e93204237ba05be37b",0,4,1,1,"DAPI_DMout blob","polygon","",0,0,4,0
"6793d6e93204237ba05be37c",0,4,1,1,"DAPI_DMout blob","polygon","",3,2,3,0
"6793d6e93204237ba05be37d",0,4,1,1,"DAPI_DMout blob","polygon","",17,7,9,6
"6793d6e93204237ba05be37e",0,4,1,1,"DAPI_DMout blob","polygon","",19,7,7,0
"6793d6e93204237ba05be37f",0,4,1,1,"DAPI_DMout blob","polygon","",0,1,1,0
"6793d6e93204237ba05be380",0,4,1,1,"DAPI_DMout blob","polygon","",2,0,1,0
"6793d6e93204237ba05be381",0,4,1,1,"DAPI_DMout blob","polygon","",5,1,2,0
"6793d6e93204237ba05be382",0,4,1,1,"DAPI_DMout blob","polygon","",6,3,3,0
"6793d6e93204237ba05be383",0,4,1,1,"DAPI_DMout blob","polygon","",0,2,3,0
"6793d6ea3204237ba05be3d9",0,5,1,1,"DAPI_DMout blob","polygon","",0,0,1,3
"6793d6ea3204237ba05be3da",0,5,1,1,"DAPI_DMout blob","polygon","",0,1,4,2
"6793d6ea3204237ba05be3dc",0,5,1,1,"DAPI_DMout blob","polygon","",0,4,2,0
"6793d6ea3204237ba05be3dd",0,5,1,1,"DAPI_DMout blob","polygon","",1,7,6,0
"6793d6ea3204237ba05be3de",0,5,1,1,"DAPI_DMout blob","polygon","",0,4,0,0
"6793d6ea3204237ba05be3df",0,5,1,1,"DAPI_DMout blob","polygon","",0,4,3,1
"6793d6ea3204237ba05be3e0",0,5,1,1,"DAPI_DMout blob","polygon","",0,0,0,1
"6793d6ea3204237ba05be3e1",0,5,1,1,"DAPI_DMout blob","polygon","",5,2,2,0
"6793d6ea3204237ba05be3e2",0,5,1,1,"DAPI_DMout blob","polygon","",5,8,3,1
"6793d6ea3204237ba05be3e3",0,5,1,1,"DAPI_DMout blob","polygon","",10,1,0,0
"6793d6ea3204237ba05be3e5",0,5,1,1,"DAPI_DMout blob","polygon","",15,2,1,3
"6793d6ea3204237ba05be3e6",0,5,1,1,"DAPI_DMout blob","polygon","",67,12,8,1
"6793d6ea3204237ba05be3e7",0,5,1,1,"DAPI_DMout blob","polygon","",1,0,0,0
"6793d6ea3204237ba05be3e8",0,5,1,1,"DAPI_DMout blob","polygon","",1,0,2,0
"6793d6eb3204237ba05be416",0,6,1,1,"DAPI_DMout blob","polygon","",27,45,23,2
"6793d6eb3204237ba05be441",0,7,1,1,"DAPI_DMout blob","polygon","",13,5,6,7
"6793d6eb3204237ba05be442",0,7,1,1,"DAPI_DMout blob","polygon","",10,5,16,6
"6793d6ec3204237ba05be478",0,8,1,1,"DAPI_DMout blob","polygon","",4,6,3,3
"6793d6ec3204237ba05be479",0,8,1,1,"DAPI_DMout blob","polygon","",4,0,2,6
"6793d6ec3204237ba05be47a",0,8,1,1,"DAPI_DMout blob","polygon","",5,11,2,6
"6793d6ec3204237ba05be47b",0,8,1,1,"DAPI_DMout blob","polygon","",0,1,2,0
"6793d6ec3204237ba05be47c",0,8,1,1,"DAPI_DMout blob","polygon","",3,3,6,1
"6793d6ec3204237ba05be47d",0,8,1,1,"DAPI_DMout blob","polygon","",15,5,3,3
"6793d6ec3204237ba05be47e",0,8,1,1,"DAPI_DMout blob","polygon","",0,5,0,7
"6793d6ec3204237ba05be47f",0,8,1,1,"DAPI_DMout blob","polygon","",8,2,3,9
"6793d6ec3204237ba05be480",0,8,1,1,"DAPI_DMout blob","polygon","",1,1,4,8
"6793d6ec3204237ba05be481",0,8,1,1,"DAPI_DMout blob","polygon","",3,2,9,0
"6793d6ec3204237ba05be482",0,8,1,1,"DAPI_DMout blob","polygon","",0,0,6,1
"6793d6ec3204237ba05be483",0,8,1,1,"DAPI_DMout blob","polygon","",3,7,9,1
"6793d6ec3204237ba05be484",0,8,1,1,"DAPI_DMout blob","polygon","",1,3,4,8
"6793d6ec3204237ba05be485",0,8,1,1,"DAPI_DMout blob","polygon","",4,0,6,1
"6793d6ec3204237ba05be486",0,8,1,1,"DAPI_DMout blob","polygon","",0,4,3,0
"6793d6ec3204237ba05be487",0,8,1,1,"DAPI_DMout blob","polygon","",3,1,2,1
"6793d6ee3204237ba05be500",0,11,1,1,"DAPI_DMout blob","polygon","",24,5,10,5
"6793d6ee3204237ba05be501",0,11,1,1,"DAPI_DMout blob","polygon","",10,9,3,6
"6793d6ee3204237ba05be502",0,11,1,1,"DAPI_DMout blob","polygon","",10,4,1,4
"6793d6ef3204237ba05be550",0,13,1,1,"DAPI_DMout blob","polygon","",0,1,1,0
"6793d6ef3204237ba05be551",0,13,1,1,"DAPI_DMout blob","polygon","",4,11,11,2
"6793d6ef3204237ba05be552",0,13,1,1,"DAPI_DMout blob","polygon","",4,3,0,2
"6793d6ef3204237ba05be553",0,13,1,1,"DAPI_DMout blob","polygon","",7,0,7,0
"6793d6ef3204237ba05be554",0,13,1,1,"DAPI_DMout blob","polygon","",0,0,7,1
"6793d6ef3204237ba05be555",0,13,1,1,"DAPI_DMout blob","polygon","",2,11,4,1
"6793d6ef3204237ba05be556",0,13,1,1,"DAPI_DMout blob","polygon","",5,14,5,12
"6793d6ef3204237ba05be557",0,13,1,1,"DAPI_DMout blob","polygon","",2,9,1,0
"6793d6ef3204237ba05be558",0,13,1,1,"DAPI_DMout blob","polygon","",16,6,4,2
"6793d6ef3204237ba05be559",0,13,1,1,"DAPI_DMout blob","polygon","",0,4,4,3
"6793d6f03204237ba05be5b5",0,15,1,1,"DAPI_DMout blob","polygon","",39,15,17,2
"6793d6f03204237ba05be5b6",0,15,1,1,"DAPI_DMout blob","polygon","",87,4,11,0
"6793d6f03204237ba05be5b7",0,15,1,1,"DAPI_DMout blob","polygon","",80,8,9,3
"6793d6f03204237ba05be5b8",0,15,1,1,"DAPI_DMout blob","polygon","",5,4,2,3
"6793d6f03204237ba05be5b9",0,15,1,1,"DAPI_DMout blob","polygon","",170,10,17,1
"6793d6f03204237ba05be5ba",0,15,1,1,"DAPI_DMout blob","polygon","",0,9,9,0
"6793d6f03204237ba05be5bb",0,15,1,1,"DAPI_DMout blob","polygon","",0,4,9,0
"6793d6f03204237ba05be5bc",0,15,1,1,"DAPI_DMout blob","polygon","",0,1,0,0
"6793d6f03204237ba05be5bd",0,15,1,1,"DAPI_DMout blob","polygon","",3,4,3,0
"6793d6f03204237ba05be5be",0,15,1,1,"DAPI_DMout blob","polygon","",0,1,6,0
"6793d6f03204237ba05be5bf",0,15,1,1,"DAPI_DMout blob","polygon","",0,5,6,0
"6793d6f03204237ba05be5c0",0,15,1,1,"DAPI_DMout blob","polygon","",0,7,1,0
"6793d6f03204237ba05be5c1",0,15,1,1,"DAPI_DMout blob","polygon","",0,11,9,0
"6793d6f13204237ba05be601",0,16,1,1,"DAPI_DMout blob","polygon","",2,3,5,6
"6793d6f13204237ba05be602",0,16,1,1,"DAPI_DMout blob","polygon","",0,10,17,2
"6793d6f13204237ba05be603",0,16,1,1,"DAPI_DMout blob","polygon","",3,7,1,1
"6793d6f13204237ba05be604",0,16,1,1,"DAPI_DMout blob","polygon","",3,1,0,2
"6793d6f13204237ba05be605",0,16,1,1,"DAPI_DMout blob","polygon","",28,10,10,5
"6793d6f13204237ba05be606",0,16,1,1,"DAPI_DMout blob","polygon","",3,15,18,2
"6793d6f13204237ba05be607",0,16,1,1,"DAPI_DMout blob","polygon","",2,0,1,0
"6793d6f23204237ba05be64b",0,17,1,1,"DAPI_DMout blob","polygon","",8,4,1,1
"6793d6f23204237ba05be64c",0,17,1,1,"DAPI_DMout blob","polygon","",21,0,10,7
