"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7 children,a594 children,cy5 children,cy3 children
"679282fa3204237ba058822a",0,1,1,1,"DAPI_DMout blob","polygon","",14,42,48,0
"679282fa3204237ba058822b",0,1,1,1,"DAPI_DMout blob","polygon","",7,16,24,0
"679282fa3204237ba058822c",0,1,1,1,"DAPI_DMout blob","polygon","",2,8,18,1
"679282fa3204237ba058822d",0,1,1,1,"DAPI_DMout blob","polygon","",4,9,30,0
"679282fb3204237ba0588234",0,2,1,1,"DAPI_DMout blob","polygon","",9,22,50,0
"679282fb3204237ba0588235",0,2,1,1,"DAPI_DMout blob","polygon","",10,14,22,1
"679282fb3204237ba0588236",0,2,1,1,"DAPI_DMout blob","polygon","",4,6,18,0
"679282fb3204237ba0588237",0,2,1,1,"DAPI_DMout blob","polygon","",9,14,10,0
"679282fd3204237ba0588241",0,8,1,1,"DAPI_DMout blob","polygon","",0,19,10,0
"679282fd3204237ba0588242",0,8,1,1,"DAPI_DMout blob","polygon","",1,2,18,1
"679282fd3204237ba0588243",0,8,1,1,"DAPI_DMout blob","polygon","",5,0,10,0
"679283003204237ba058824b",0,13,1,1,"DAPI_DMout blob","polygon","",2,37,36,0
"679283023204237ba0588251",0,18,1,1,"DAPI_DMout blob","polygon","",5,44,42,0
"679283033204237ba0588255",0,19,1,1,"DAPI_DMout blob","polygon","",3,31,28,0
"679283033204237ba0588259",0,20,1,1,"DAPI_DMout blob","polygon","",1,22,46,8
"679283043204237ba058825f",0,22,1,1,"DAPI_DMout blob","polygon","",12,1,8,0
"679283043204237ba0588260",0,22,1,1,"DAPI_DMout blob","polygon","",9,14,32,0
"679283043204237ba0588261",0,22,1,1,"DAPI_DMout blob","polygon","",5,5,28,0
"679283073204237ba058826a",0,28,1,1,"DAPI_DMout blob","polygon","",8,1,12,0
"679283093204237ba058826f",0,31,1,1,"DAPI_DMout blob","polygon","",1,5,24,0
"679283093204237ba0588270",0,31,1,1,"DAPI_DMout blob","polygon","",6,12,26,2
"679283093204237ba0588275",0,32,1,1,"DAPI_DMout blob","polygon","",2,37,62,2
