Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
0	3.70648E+07	3.074096E+07	4.673177E+07	2.82367E+07	4.567045E+07	3.426059E+07	1.698491E+07	1.936959E+07	2.158145E+07	2.094084E+07	1.616317E+07	1.888169E+07
3	3.40846E+07	3.357686E+07	5.341785E+07	3.811399E+07	5.264161E+07	4.275328E+07	1.940739E+07	2.342621E+07	2.351283E+07	2.415892E+07	2.111406E+07	2.13554E+07
10	5.793776E+07	5.416486E+07	5.336344E+07	4.92343E+07	5.77477E+07	4.584837E+07	1.554258E+07	2.086833E+07	2.022898E+07	1.81009E+07	1.625656E+07	1.664825E+07
24	1.070743E+08	9.843635E+07	9.33337E+07	1.198639E+08	1.101928E+08	8.206096E+07	2.301952E+07	2.338499E+07	2.411915E+07	2.706852E+07	2.374989E+07	2.260438E+07
34	1.345698E+08	1.217527E+08	9.302882E+07	1.236216E+08	1.094788E+08	8.379147E+07	2.279887E+07	2.299382E+07	2.288805E+07	2.396276E+07	2.06938E+07	2.266148E+07
48	1.603686E+08	1.357242E+08	1.139059E+08	1.692601E+08	1.396573E+08	1.039476E+08	2.919568E+07	2.86745E+07	2.884853E+07	3.077857E+07	2.764944E+07	2.959138E+07
58	1.624456E+08	1.230882E+08	9.593826E+07	1.739602E+08	1.191374E+08	9.012502E+07	3.239044E+07	3.030908E+07	2.747918E+07	3.338973E+07	2.997523E+07	2.979991E+07
82.65	1.629631E+08	1.430371E+08	9.871113E+07	1.578208E+08	1.395692E+08	8.92564E+07	3.668212E+07	3.239375E+07	3.34338E+07	3.724265E+07	3.386746E+07	3.502723E+07
