Id,Channel,XY,Z,Time,Tags,Shape,Name
66708e8e2f805e54f0e59dd9,0,1,1,1,Default blob,polygon,hi1
66708e962f805e54f0e59deb,0,1,1,1,Default blob,polygon,hi1
66708e982f805e54f0e59dee,0,1,1,1,Default blob,polygon,hi1
66708ea42f805e54f0e59dfd,0,1,1,1,Default blob,polygon,hi1
66708ea72f805e54f0e59e00,0,1,1,1,Default blob,polygon,hi1
66708ea92f805e54f0e59e03,0,1,1,1,Default blob,polygon,hi1
66708eae2f805e54f0e59e09,0,1,1,1,Default blob,polygon,hi1
66708eb12f805e54f0e59e0c,0,1,1,1,Default blob,polygon,hi1
66708eb22f805e54f0e59e0f,0,1,1,1,Default blob,polygon,hi1
66708eb52f805e54f0e59e18,0,1,1,1,Default blob,polygon,hi1
66708eb82f805e54f0e59e1e,0,1,1,1,Default blob,polygon,hi1
66708ebb2f805e54f0e59e27,0,1,1,1,Default blob,polygon,hi1
66708ec42f805e54f0e59e30,0,1,1,1,Default blob,polygon,hi1
66708ecf2f805e54f0e59e35,0,1,1,1,Default blob,polygon,hi1
66775ff8efb2f5d02e2c1ff9,0,1,1,1,colony,polygon,hi1
66776014efb2f5d02e2c1ffc,0,1,1,1,colony,polygon,hi1
6677601eefb2f5d02e2c1fff,0,1,1,1,colony,polygon,hi1
66708f1b2f805e54f0e59e65,0,3,1,1,Default blob,polygon,hi2
66708f292f805e54f0e59e71,0,3,1,1,Default blob,polygon,hi2
66708f2c2f805e54f0e59e74,0,3,1,1,Default blob,polygon,hi2
66708f332f805e54f0e59e7a,0,3,1,1,Default blob,polygon,hi2
66708f422f805e54f0e59e8f,0,3,1,1,Default blob,polygon,hi2
66708f452f805e54f0e59e92,0,3,1,1,Default blob,polygon,hi2
66708f482f805e54f0e59e95,0,3,1,1,Default blob,polygon,hi2
66708f4e2f805e54f0e59e9b,0,3,1,1,Default blob,polygon,hi2
66708f502f805e54f0e59e9e,0,3,1,1,Default blob,polygon,hi2
66708f532f805e54f0e59ea4,0,3,1,1,Default blob,polygon,hi2
66708f562f805e54f0e59ea7,0,3,1,1,Default blob,polygon,hi2
66708f5b2f805e54f0e59ead,0,3,1,1,Default blob,polygon,hi2
66708f622f805e54f0e59eb3,0,3,1,1,Default blob,polygon,hi2
66708f652f805e54f0e59eb6,0,3,1,1,Default blob,polygon,hi2
66708f8a2f805e54f0e59eca,0,3,1,1,Default blob,polygon,hi2
6677604eefb2f5d02e2c2002,0,3,1,1,colony,polygon,hi2
6677605befb2f5d02e2c2005,0,3,1,1,colony,polygon,hi2
66776078efb2f5d02e2c2008,0,3,1,1,colony,polygon,hi2
66776082efb2f5d02e2c200b,0,3,1,1,colony,polygon,hi2
66708fc12f805e54f0e59ed3,0,5,1,1,Default blob,polygon,lohi1
66708fc32f805e54f0e59ed6,0,5,1,1,Default blob,polygon,lohi1
66708fc82f805e54f0e59edf,0,5,1,1,Default blob,polygon,lohi1
66708fca2f805e54f0e59ee2,0,5,1,1,Default blob,polygon,lohi1
66708fd22f805e54f0e59ee8,0,5,1,1,Default blob,polygon,lohi1
