Id,Channel,XY,Z,Time,Tags,Shape,Name,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy3,cy7,cy5,a594
6578a1cd160d151ba2e91fc5,0,0,0,0,cell,polygon,,989.4496357964821,445.4017005086307,555.5849018,30530.253444875998,5,122,28,25
6578a1d4160d151ba2e92248,0,0,0,0,cell,polygon,,936.5691542724319,236.42660053947532,870.1315314078349,28967.240230035542,16,85,19,39
6578a268160d151ba2e92e30,0,0,0,0,cell,polygon,,1006.6599155647745,191.68379450296945,435.3650469000609,31764.10344992698,5,225,18,6
6578a280160d151ba2e92e33,0,7,0,0,cell,polygon,,783.4614600185013,189.83636751546925,875.9417371918901,21928.121562377022,1,83,0,3
6578a285160d151ba2e92e36,0,7,0,0,cell,polygon,,572.9827386056728,446.28308770463735,482.24540171310593,16576.366655479476,0,33,2,0
6578a28b160d151ba2e92e39,0,7,0,0,cell,polygon,,1110.9163474930945,818.0985943201963,805.8217622234279,14476.159082262513,1,19,0,1
6578a2ac160d151ba2e9a7be,0,13,0,0,cell,polygon,,1156.928100959988,229.46767464076953,596.8276478,56520.09149925344,23,253,9,42
6578a2b1160d151ba2e9bf67,0,13,0,0,cell,polygon,,613.1201064103849,634.9481826,490.5853232,18391.685512144613,14,57,6,3
6578a2b5160d151ba2e9d7c5,0,13,0,0,cell,polygon,,654.7938439391875,685.1675690948559,337.5300588389755,16447.308545167034,8,48,4,1
6578a2bc160d151ba2e9f6c0,0,13,0,0,cell,polygon,,947.2866428994598,691.9334906005606,676.0432233169942,38514.443964039456,5,107,6,5
6578a2c2160d151ba2e9f6c3,0,13,0,0,cell,polygon,,846.0324236933028,474.64983555340893,775.6365922540394,33115.38800299524,6,106,3,3
6578a2c7160d151ba2e9f6c6,0,13,0,0,cell,polygon,,916.2609169887293,446.51654627430014,327.6589604667526,51821.42939190545,27,102,6,5
6578a2e3160d151ba2e9f6c9,0,16,0,0,cell,polygon,,1177.0960956047754,314.3641068348125,755.9970262744246,53624.93112036413,18,369,8,3
6578a2e9160d151ba2e9f6cc,0,16,0,0,cell,polygon,,987.7748240975393,509.1378656952372,711.1875746352606,51993.16775688421,11,166,15,7
6578a3b9160d151ba2e9f6cf,0,25,0,0,cell,polygon,,612.1408976070643,575.6274790829856,362.3318057178407,16015.971463270953,2,50,4,1
6578a3bd160d151ba2e9f6d2,0,25,0,0,cell,polygon,,801.3896607708222,497.4298949,539.6087432522345,28443.357787027984,3,39,16,3
6578a3cb160d151ba2e9f6d5,0,27,0,0,cell,polygon,,1130.097542163539,764.9637413011152,540.2369555885779,62382.094357197064,5,234,22,48
6578a3d0160d151ba2e9f6da,0,27,0,0,cell,polygon,,1210.722622856056,194.57740963940492,556.5417201605011,53035.29606727018,7,143,6,5
6578a3db160d151ba2e9f716,0,28,0,0,cell,polygon,,1397.536125703821,573.5833841318546,536.0512207674286,44711.70997796347,6,121,8,8
6578a3e0160d151ba2e9f776,0,28,0,0,cell,polygon,,708.4683470815334,762.7339497440681,339.4695101119528,24216.105046737823,0,57,7,2
6578a3e4160d151ba2e9f7d3,0,28,0,0,cell,polygon,,374.1126430268851,367.77398425232997,905.5011974600825,5983.215298153333,0,13,0,0
6578a3ef160d151ba2e9fa7e,0,32,0,0,cell,polygon,,798.0460410883054,268.3122746375083,508.22363379929914,9823.185580607245,1,15,6,1
6578a3f2160d151ba2e9fbd1,0,32,0,0,cell,polygon,,516.9434749801385,363.91227999293886,265.34276831100823,10727.67430282902,3,18,5,3
6578a3fd160d151ba2e9fddd,0,35,0,0,cell,polygon,,1089.4783887037336,467.05885936352877,230.13962332082986,59511.325804058404,29,45,7,4
6578a401160d151ba2e9fde0,0,35,0,0,cell,polygon,,875.9394720610546,107.40283746077428,474.9303551242218,53022.10456967034,20,165,8,29
6578a406160d151ba2e9fde3,0,35,0,0,cell,polygon,,1208.2731004726272,122.17340363052399,842.7221072925337,61872.35497824543,9,102,4,24
6578a40f160d151ba2ea0281,0,35,0,0,cell,polygon,,1336.2534046921794,517.0058146122568,656.921891,93157.36046522004,35,320,23,67
6578a413160d151ba2ea137c,0,35,0,0,cell,polygon,,520.8887971559894,773.2476271892376,796.7536975356898,13782.377133821816,0,15,0,0
6578a421160d151ba2ea5809,0,35,0,0,cell,polygon,,1094.7403316584744,742.3330459150346,239.60227848178917,75198.25651587723,22,28,10,6
6578a42a160d151ba2ea857b,0,36,0,0,cell,polygon,,1221.046063674173,351.6499001089965,470.58002280771524,38812.318584985085,3,25,12,1
6578a42e160d151ba2ea9ca3,0,36,0,0,cell,polygon,,681.5649370147839,492.6997427657067,982.6988540153583,17106.385632795882,1,29,3,2
6578a437160d151ba2eac744,0,37,0,0,cell,polygon,,1461.4201252470368,333.9745030235724,680.4056908820618,17659.68184344503,0,15,2,0
6578a445160d151ba2eb06ab,0,37,0,0,cell,polygon,,1056.2895085861505,421.4206016162905,327.0342293945748,12142.649092545787,1,8,0,1
6578a44a160d151ba2eb1deb,0,37,0,0,cell,polygon,,1050.3017754658313,152.43157555784887,538.7582692171383,15116.958457034016,1,22,1,1
6578a44e160d151ba2eb31be,0,37,0,0,cell,polygon,,692.2132469298876,337.86393127368115,863.6004590655683,23052.515399961027,4,19,2,3
6578a459160d151ba2eb4856,0,39,0,0,cell,polygon,,1614.3563919902979,141.43979795873068,804.2625305505433,81395.27363362012,4,171,8,10
6578a46a160d151ba2eb4859,0,41,0,0,cell,polygon,,805.5381871016889,537.4104220030202,605.3978350865946,23137.88679008819,3,37,3,2
6578a46f160d151ba2eb485c,0,41,0,0,cell,polygon,,772.5780324351964,702.9063657703321,831.6926776593027,28677.32019728902,6,37,2,3
6578a476160d151ba2eb485f,0,42,0,0,cell,polygon,,1026.2027494719355,116.59733996104532,412.9604133460745,39810.94417153897,9,199,3,10
6578a47c160d151ba2eb4b78,0,42,0,0,cell,polygon,,1080.9804651753582,547.7322951232986,482.30448441640044,44348.32155351555,31,325,13,11
6578a498160d151ba2ec238e,0,42,0,0,cell,polygon,,1073.9871759331713,489.7049263313643,252.15817502059764,50064.72014549891,25,113,7,5
6578a4a7160d151ba2ec81e1,0,42,0,0,cell,polygon,,736.0107079769066,802.5029898093846,422.73450568395856,29319.225422370455,26,188,7,12
6578a4ac160d151ba2ec8e7d,0,42,0,0,cell,polygon,,899.0089620924348,287.3605467,195.75680205863455,35733.66546522842,13,75,2,7
6578a4b6160d151ba2ec8e89,0,43,0,0,cell,polygon,,1166.087048150347,695.3326216600751,281.7930751087637,21555.362514135402,1,22,13,1
6578a4bc160d151ba2ec8e92,0,44,0,0,cell,polygon,,482.7271772629254,814.5567832201077,459.2049680931347,16035.36863334544,0,30,3,1
6578a4c0160d151ba2ec8e98,0,44,0,0,cell,polygon,,579.2316193895626,764.1235268978214,347.15852037422314,21886.28126,2,30,4,1
6578a4cc160d151ba2ec8ea0,0,47,0,0,cell,polygon,,582.2116038246544,326.01199962183483,686.8200620820583,19990.008583136456,3,9,1,2
6578a4d0160d151ba2ec8ea3,0,47,0,0,cell,polygon,,567.3063960368254,410.2821103202384,249.49553368586962,19674.304491258343,0,9,0,0
6578a4e3160d151ba2ec8eaf,0,0,0,0,cell,polygon,,979.0474584,835.6239965250229,311.8444504163839,24687.82591,2,97,11,22
6578a4e9160d151ba2ec8eb2,0,0,0,0,cell,polygon,,1212.5675406670566,523.5826111807374,268.97214531301137,48470.08726268351,17,214,27,20
6578aa7e160d151ba2ed112b,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed112c,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed112d,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed112e,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed112f,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1130,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1131,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1132,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1133,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1134,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1135,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1136,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1137,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1138,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1139,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed113a,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed113b,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed113c,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed113d,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed113e,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed113f,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1140,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1141,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1142,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1143,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1144,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1145,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1146,2,0,2,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1147,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1148,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1149,2,0,4,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed114a,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed114b,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed114c,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed114d,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed114e,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed114f,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1150,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1151,2,0,2,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1152,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1153,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1154,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1155,2,0,0,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1156,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1157,2,0,4,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1158,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed1159,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed115a,2,0,1,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed115b,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed115c,2,0,2,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed115d,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
6578aa7e160d151ba2ed115e,2,0,3,0,A594 point,point,,-,-,-,-,-,-,-,-
