"Id",Channel,XY,Z,Time,"Tags","Shape","Name",red intensity measurements / TotalIntensity,red intensity measurements / MinIntensity,red intensity measurements / MedianIntensity,red intensity measurements / MeanIntensity,red intensity measurements / MaxIntensity,red intensity measurements / 75thPercentileIntensity,red intensity measurements / 25thPercentileIntensity,green intensity measurements / TotalIntensity,green intensity measurements / MinIntensity,green intensity measurements / MedianIntensity,green intensity measurements / MeanIntensity,green intensity measurements / MaxIntensity,green intensity measurements / 75thPercentileIntensity,green intensity measurements / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,green blob Parent and child / parentId,green blob Parent and child / childId,green blob Parent and child / annotationId
"668c97eb8c33857f1c36acda",0,1,1,1,"green blob","polygon","",2611,21,31,31.083333333333332,41,36,26,19911,229,237,237.03571428571428,244,240,234,13304,15,18,18.606993006993008,36,19,17,164583,218,231,230.186013986014,243,235,225,31,35.13333333333333,36,30,26,237,240.0888888888889,240,236,234,-,70,71
"668c98178c33857f1c36acdd",0,1,1,1,"green blob","polygon","",3476,11,36,37.376344086021504,66,51,22,12704,116,135,136.6021505376344,160,149,125,8090,7,8,10.991847826086957,56,9,8,84788,110,113,115.20108695652173,148,114,112,36,51.083333333333336,51,29.800000000000004,22,135,147.52083333333334,149,132,125,-,22,23
"668c983e8c33857f1c36ace4",0,1,1,29,"green blob","polygon","",20138010,8,54,64.61469600177115,859,84,32,54806682,87,160,175.8523854291334,1327,203,127,723713,9,23,32.258212614218856,440,44,12,2799541,87,111,124.78453309560953,726,143,94,54,90.21687595287595,84,45,32,160,214.91427304227304,203,147,127,23,-,22
"668c98c88c33857f1c36ace7",0,1,1,1,"green blob","polygon","",4525,10,23,23.567708333333332,39,30,17,31667,146,164.5,164.93229166666666,185,174,156,11484,8,10,13.124571428571429,54,11.5,9,131075,142,146,149.8,196,149,145,23,30.019607843137255,30,21,17,164.5,173.2941176470588,174,161,156,-,38,39
"668c991b8c33857f1c36acec",0,1,1,1,"green blob","polygon","",5354,8,21,19.903345724907062,30,25,15,34532,115,129,128.37174721189592,142,133,124,10228,6,9,9.558878504672897,24,10,8,123248,110,114,115.18504672897197,135,116,113,21,24.47826086956522,25,19,15,129,133.1086956521739,133,127,124,-,46,47
"668c99738c33857f1c36acef",0,1,1,1,"green blob","polygon","",3045,15,26,25.805084745762713,36,30,22,25544,198,217,216.47457627118644,230,222,211,14400,12,15,17.932752179327522,37,20,14,163210,191,202,203.25031133250312,228,206,198,26,30.372881355932204,30,24,22,217,222.66101694915255,222,215,211,-,34,35
"668c99cc8c33857f1c36acf7",0,1,1,1,"green blob","polygon","",2636,14,25,23.74774774774775,30,28,20,20620,176,186,185.76576576576576,193,189,183,11873,11,14,15.300257731958762,29,16,14,137198,166,177,176.80154639175257,193,180,173,25,26.916666666666668,28,23,20,186,188.63333333333333,189,186,183,-,36,37
"668c9a318c33857f1c36acfa",0,1,1,1,"green blob","polygon","",2373,16,25,24.463917525773194,29,27,23,17215,170,178,177.4742268041237,183,180,175,9790,10,12,13.37431693989071,41,14,11,121691,161,165,166.2445355191257,177,167,164,25,26.35185185185185,27,24,23,178,179.42592592592592,180,177,175,-,32,33
"668ca4b08c33857f1c36ad00",0,1,1,29,"green blob","polygon","",3805226,8,29,40.996638583033466,468,54,16,15887694,99,147,171.17039798314983,1155,197,120,548084,8,12,26.295830734539173,269,30,11,2860914,99,114,137.2601832749604,656,145,110,29,61.76928865652725,54,23,16,147,213.80644011406844,197,134,120,31,-,30
"668ca5b48c33857f1c36ad19",0,1,1,1,"green blob","polygon","",3592,8,14,15.220338983050848,28,18,12,30731,118,128,130.21610169491527,156,134,124,7921,6,8,8.276907001044933,13,9,8,111989,114,117,117.0208986415883,128,118,116,14,18.50420168067227,18,14,12,128,136.45378151260505,134,127,124,-,18,19
