"Id",Channel,XY,Z,Time,"Tags","Shape","Name",line Blob Parent and child / parentId,line Blob Parent and child / childId,line Blob Parent and child / annotationId,red / TotalIntensity,red / MinIntensity,red / MedianIntensity,red / MeanIntensity,red / MaxIntensity,red / 75thPercentileIntensity,red / 25thPercentileIntensity,green / TotalIntensity,green / MinIntensity,green / MedianIntensity,green / MeanIntensity,green / MaxIntensity,green / 75thPercentileIntensity,green / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity
"660cb3476cebf97155c8e8ae",0,1,1,23,"green blob, start, line","polygon","",-,-,-,5076974,38,60,81.82333032490975,1331,85,51,32342796,368,471,521.2544481691593,5547,532,442,60,104.46556573560946,85,55,51,471,582.3201425826395,532,458,442,769883,35,53,58.55068826526732,174,65,49,6208664,360,460,472.17765609552055,1061,495,426
"660cb3526cebf97155c8e8b1",0,1,1,23,"green blob, start, line","polygon","",-,-,-,30052251,24,57,63.417428462902,723,74,44,229558967,255,454,484.42425719591455,2605,553,375,57,80.25022700488785,74,52,44,454,582.7843202411082,553,423,375,1628165,25,41,49.83059925322887,792,53,33,12642935,251,356,386.94175797270003,2770,428,299
"660cb3576cebf97155c8e8b4",0,1,1,23,"green blob, start, line","polygon","",-,-,-,4547044,25,45,52.201871304747144,686,61,35,34403781,259,360,394.9690718098846,3040,440,308,45,66.72540932121771,61,40,35,360,468.36805410158706,440,338,308,548545,25,33,39.842024985473564,194,43,30,4566134,258,302,331.64831493317837,1019,350,285
"660cb39b6cebf97155c8e8b9",0,1,1,22,"green blob, start, line","polygon","",-,-,-,3919928,24,41,47.65232613267526,518,55,32,33073021,276,368,402.04982920217356,2916,446,320,41,60.81296350234132,55,37,32,368,472.872471041606,446,347,320,469159,24,31,34.7165162054166,146,38,28,4525746,273,318,334.8931478466775,1205,351.75,300
"660cb3b06cebf97155c8e8bc",0,1,1,24,"green blob, start, line","polygon","",-,-,-,7082224,39,73,99.79039325921855,853,110,55,39503240,352,482,556.6110101308985,3176,578,441,73,133.27304542069993,110,64,55,482,646.7598659717052,578,463,441,1089188,39,58,73.40531068877208,905,79,52,7660292,351,469,516.26176034506,3181,542,435
"660cb3f06cebf97155c8e8e2",0,1,1,24,"green blob, start, line","polygon","",-,-,-,49080271,25,65,75.81287699629434,905,90,48,322079515,235,455,497.506923988279,3181,581,365,65,99.89966314577832,90,58,48,455,617.4203935044123,581,418,365,1788468,24,40,49.015237886428416,788,54,34,13080436,233,329,358.48596798947597,2410,411,275
"660cb3f86cebf97155c8e8e5",0,1,1,24,"green blob, start, line","polygon","",-,-,-,7816233,26,50,58.88200596637136,487,66,40,52036086,249,359,392.003299584162,4329,424,313,50,74.06507142474987,66,46,40,359,457.5632791182922,424,339,313,820737,26,37,43.66086817746569,217,48,32,6126122,248,303,325.89222257686987,997,354,276
"660cb40f6cebf97155c8e908",0,1,1,25,"green blob, start, line","polygon","",-,-,-,8321665,25,50,59.21123222951146,470,68,39,59767247,278,392,425.26253361984317,3838,465,342,50,76.80029380131685,68,45,39,392,499.13987041263346,465,371,342,832380,25,36,40.74302496328928,150,46,30,7162657,275,335,350.59505628976996,1084,378,305
"660cb4286cebf97155c8e992",0,1,1,25,"green blob, start, line","polygon","",-,-,-,7919498,41,75,105.9762341259752,996,125,55,46300740,407,529,619.5819561348338,3226,663,481,75,146.9001482345508,125,65,55,529,734.3904886880027,663,504,481,875914,40,64,74.36865342163355,455,89,50,6562417,409,520,557.1758363049754,2530,604,469
"660cb4446cebf97155c8e9e6",0,1,1,25,"green blob, start, line","polygon","",-,-,-,61869519,25,65,77.67078604149589,1252,93,46,427020759,261,489,536.0804244747106,5341,629,386,65,105.79200230149597,93,57,46,489,673.3110457773163,629,447,386,1946867,25,40,47.751269284540484,725,53,31,15909861,260,368,390.2249392950872,2585,445,291
